Topic: 0
like : 0.275237612684
place : 0.233716475521
moon : 0.199736602705
gamble : 0.0713494078109
drinks : 0.0674257260832
playboy : 0.0575105904019
bunnies : 0.0242849722801
great : 0.0240618780271
night : 0.0234495983514
time : 0.0232271361356
Topic: 1
great : 0.278650085095
gamble : 0.168649843427
place : 0.136481071343
night : 0.132295523245
bunnies : 0.0779236447066
time : 0.0708717835647
moon : 0.0370191537531
playboy : 0.0335173311916
like : 0.0327168241389
drinks : 0.031874739534
Topic: 2
drinks : 0.214287406706
gamble : 0.131309428682
moon : 0.130286508008
playboy : 0.120368024173
great : 0.10994832081
place : 0.0830948884793
bunnies : 0.0790902453289
night : 0.0635712428858
time : 0.0482812807997
like : 0.0197626541271
Topic: 3
playboy : 0.315094601322
place : 0.150177606739
moon : 0.126772892151
time : 0.108556781765
night : 0.101442332909
great : 0.0798299075166
drinks : 0.0579890907636
bunnies : 0.0284284979277
like : 0.0227205006688
gamble : 0.00898778823657
Topic: 4
bunnies : 0.312150658768
playboy : 0.269450751896
night : 0.116754278619
like : 0.0724042831421
time : 0.0665012886157
drinks : 0.0573656907529
place : 0.0429391402838
gamble : 0.0365832436042
great : 0.0134167726313
moon : 0.0124338916869
