Topic: 0
good : 0.31313379165
food : 0.166973546793
service : 0.127409295922
nice : 0.103885258472
fork : 0.0985103714521
really : 0.0716373360749
great : 0.0487904231834
place : 0.0334696886952
just : 0.0304079080112
happy : 0.0057823797463
Topic: 1
place : 0.355935973989
service : 0.239429117679
food : 0.136563976011
happy : 0.074265641861
great : 0.0563139362516
nice : 0.0357533248589
good : 0.0357440876758
fork : 0.0343201018034
really : 0.0223050762538
just : 0.00936876361673
Topic: 2
great : 0.193843796559
really : 0.168064849088
fork : 0.160945787343
happy : 0.151720957271
nice : 0.132645162634
food : 0.0706065164113
just : 0.0514361724036
good : 0.0361749080609
service : 0.027983554503
place : 0.00657829572665
Topic: 3
food : 0.304545050287
great : 0.188771925239
just : 0.132030238042
fork : 0.121769692073
really : 0.117603214406
nice : 0.0392401865487
service : 0.0362807870432
good : 0.0306645830088
happy : 0.0168754106406
place : 0.0122189127115
Topic: 4
good : 0.23464702323
happy : 0.159414803529
service : 0.15816482445
just : 0.148230778509
really : 0.116066445885
food : 0.0512113816901
place : 0.0501643381597
nice : 0.0376941957461
great : 0.023536328316
fork : 0.0208698804849
