Topic: 0
just : 0.227511015258
great : 0.149345064603
like : 0.137994127552
lunch : 0.132669233535
bean : 0.118695905199
coffee : 0.107466798497
good : 0.0464663910825
place : 0.0368494733072
food : 0.0324625088035
service : 0.0105394821608
Topic: 1
service : 0.371076595355
food : 0.122629027677
place : 0.100934107082
good : 0.096965495432
like : 0.0833645337269
lunch : 0.0789283435394
bean : 0.0636639973707
coffee : 0.0294411206755
great : 0.0268322213942
just : 0.026164557747
Topic: 2
lunch : 0.246971673907
service : 0.22897038169
great : 0.11503945778
just : 0.101871264019
food : 0.0721217613472
like : 0.0605217658423
place : 0.0587424424455
coffee : 0.0587145495988
bean : 0.0293135810904
good : 0.0277331222795
Topic: 3
good : 0.237141209123
place : 0.178564410844
food : 0.143961437507
coffee : 0.140291469666
great : 0.122070352872
lunch : 0.0870859711139
like : 0.0448218455958
bean : 0.0291891443763
service : 0.00860290460397
just : 0.00827125429682
Topic: 4
bean : 0.352922782868
coffee : 0.257655662222
like : 0.13149527052
place : 0.0767031689642
lunch : 0.0685462639167
service : 0.0338870248681
food : 0.0328176295924
great : 0.0156530414175
good : 0.0155646225507
just : 0.0147545330796
