Topic: 0
happy : 0.30833105821
bar : 0.167690626259
irish : 0.11855035585
night : 0.0818790484833
place : 0.077488903812
food : 0.0648166957573
good : 0.062276340427
beer : 0.0583688792383
just : 0.0320998441034
like : 0.0284982478606
Topic: 1
food : 0.403947635164
good : 0.168293707739
irish : 0.151278653173
bar : 0.0870353029654
happy : 0.0751776449913
place : 0.0573614498274
just : 0.0145743833682
night : 0.0142822244941
beer : 0.0141131562187
like : 0.0139358420595
Topic: 2
just : 0.440744903909
irish : 0.24850033406
beer : 0.0784327387651
happy : 0.0513469483224
bar : 0.0496624346771
place : 0.0493671977086
good : 0.0441454720293
food : 0.0127903568484
night : 0.0127258635006
like : 0.0122837501792
Topic: 3
night : 0.259429795961
good : 0.18868467161
like : 0.145150938474
place : 0.104156355865
beer : 0.085823637974
bar : 0.0740668943683
happy : 0.0514738790735
just : 0.0354110995373
food : 0.0283408714794
irish : 0.0274618556579
Topic: 4
place : 0.264970173777
irish : 0.215791187365
good : 0.164049098683
beer : 0.110118547097
like : 0.100222220401
bar : 0.0490573568777
night : 0.044967071821
food : 0.0327026438348
happy : 0.00928632627279
just : 0.00883537387042
