Topic: 0
service : 0.241007437818
food : 0.214145908065
great : 0.130858134918
place : 0.104153374245
italian : 0.0889885536427
dinner : 0.0880900448541
restaurant : 0.087306873839
ruffino : 0.0160365455928
date : 0.0147978859391
atmosphere : 0.014615241086
Topic: 1
great : 0.255894596783
date : 0.191534163577
ruffino : 0.141820140063
place : 0.0896364222344
service : 0.0816607095818
restaurant : 0.0665179951082
dinner : 0.065891710531
food : 0.0533636744719
italian : 0.0376510108105
atmosphere : 0.0160295768394
Topic: 2
ruffino : 0.284796405567
place : 0.180156898672
dinner : 0.166790022035
atmosphere : 0.0942487531622
food : 0.0837637125448
date : 0.0538894896652
italian : 0.0416327128455
great : 0.0400843714029
service : 0.0399603688099
restaurant : 0.0146772652954
Topic: 3
atmosphere : 0.179274255923
italian : 0.16720431543
place : 0.141236291161
restaurant : 0.10622116361
food : 0.103315747641
service : 0.0907925582566
date : 0.0869011835058
great : 0.0710369293072
dinner : 0.0393681508147
ruffino : 0.0146494043511
Topic: 4
restaurant : 0.312741328187
place : 0.204419083577
ruffino : 0.154191489356
italian : 0.0734495292114
great : 0.0718344381702
food : 0.0377962155715
dinner : 0.0372094662295
service : 0.0365428052204
date : 0.0362666650646
atmosphere : 0.0355489794118
