Topic: 0
just : 0.184366645408
food : 0.142111073071
went : 0.11864781668
like : 0.109048433376
club : 0.101004087924
worst : 0.0885091633725
music : 0.0884806579198
good : 0.0740732185923
21 : 0.0732712867179
place : 0.0204876169387
Topic: 1
21 : 0.192603461821
went : 0.192189873466
music : 0.161121448218
place : 0.138681122284
good : 0.127910298214
club : 0.064545135715
food : 0.0544268919006
just : 0.0366703769912
like : 0.0164884526903
worst : 0.0153629387001
Topic: 2
food : 0.253418674204
worst : 0.182185320875
place : 0.148707488816
just : 0.148373223926
21 : 0.0611569428999
music : 0.0583089720471
went : 0.0564395394497
like : 0.0553718661183
club : 0.0181546979659
good : 0.017883273698
Topic: 3
like : 0.423745159653
place : 0.17787460866
good : 0.0915040763156
club : 0.0787742937807
music : 0.0748543334938
just : 0.0704128294197
food : 0.0211998118186
went : 0.0208572990769
21 : 0.0207659078932
worst : 0.020011679889
Topic: 4
club : 0.419971165326
good : 0.232063891786
like : 0.0452964060775
place : 0.0442591731147
food : 0.043829137701
went : 0.0435683726963
music : 0.0432807431335
21 : 0.0432046895052
just : 0.0427409807276
worst : 0.0417854399325
