Topic: 0
restaurant : 0.390851934212
service : 0.06844074353
time : 0.0681008943039
order : 0.0679346477812
server : 0.0678302732843
delivery : 0.0676216508361
sa : 0.0674427519736
phone : 0.0673535477167
table : 0.0672314672881
place : 0.0671920890744
Topic: 1
service : 0.254359795834
sa : 0.18875824745
time : 0.169679106685
restaurant : 0.0570567061037
server : 0.0553261882853
order : 0.0552144118458
delivery : 0.0551669133362
phone : 0.0549872885334
table : 0.0547437864057
place : 0.0547075555214
Topic: 2
order : 0.244508712547
phone : 0.201400433584
delivery : 0.177679375115
restaurant : 0.101581349383
service : 0.101290982517
time : 0.0348871097966
server : 0.0348158511201
sa : 0.0347392001317
place : 0.0346263350398
table : 0.0344706507656
Topic: 3
restaurant : 0.102856294706
order : 0.10022963718
service : 0.100211721441
time : 0.100113933317
phone : 0.0999528223885
server : 0.0996952514597
delivery : 0.0995820419269
sa : 0.0995433383415
place : 0.0991640059358
table : 0.0986509533029
Topic: 4
server : 0.167819587161
time : 0.152569438105
place : 0.124183392681
restaurant : 0.108689052794
service : 0.108343856198
table : 0.105523013974
sa : 0.0740236252462
order : 0.0675323554554
delivery : 0.066874004546
phone : 0.0244416738384
