Topic: 0
room : 0.290954249096
stay : 0.236651783443
hotel : 0.116282648286
stayed : 0.111146131323
vegas : 0.0692801063358
rooms : 0.0396456080081
place : 0.0389097148576
floor : 0.0372633295964
like : 0.0321032335885
just : 0.0277631954653
Topic: 1
floor : 0.193735169669
just : 0.193668507832
room : 0.17194291524
like : 0.1284857226
stayed : 0.0925733477387
place : 0.0822937254503
hotel : 0.0709193035476
rooms : 0.0345665431597
vegas : 0.0232008644168
stay : 0.00861390034613
Topic: 2
place : 0.288221702917
room : 0.224405471563
like : 0.183931775292
stay : 0.100612611449
just : 0.0692834700087
vegas : 0.061244420758
rooms : 0.0291987173511
hotel : 0.017755155369
floor : 0.0127262798125
stayed : 0.0126203954797
Topic: 3
hotel : 0.333791437579
rooms : 0.216163096108
just : 0.0985005359711
stay : 0.0969162623276
room : 0.0638973263005
floor : 0.0551040012356
place : 0.0516395616402
vegas : 0.049536691213
like : 0.0173381868339
stayed : 0.0171129007914
Topic: 4
room : 0.287218807011
vegas : 0.20064360445
stayed : 0.110629373081
rooms : 0.10579418212
hotel : 0.0976157354702
just : 0.074846377885
place : 0.0518761535124
stay : 0.0294099291593
floor : 0.029008394723
like : 0.0129574425875
