Topic: 0
white : 0.260628471966
meat : 0.224092267983
place : 0.147062488269
like : 0.140713082228
just : 0.0385930561719
rice : 0.0384716063299
samurai : 0.0380688180306
work : 0.0379695328759
years : 0.0374747004206
healthy : 0.0369259757249
Topic: 1
work : 0.248757328133
rice : 0.167284618331
like : 0.166292470362
meat : 0.156613372852
just : 0.0444564232844
samurai : 0.0441626825216
white : 0.0435026706983
place : 0.0434282389211
years : 0.0429523091976
healthy : 0.0425498856991
Topic: 2
just : 0.23676279927
white : 0.159212582065
rice : 0.148351091979
meat : 0.141126942224
healthy : 0.106536934078
like : 0.0418183539043
samurai : 0.0417811387047
work : 0.041767965819
place : 0.0413967592366
years : 0.0412454327187
Topic: 3
years : 0.233969517143
samurai : 0.213232866018
work : 0.16120211213
just : 0.147816694511
meat : 0.0413184539051
rice : 0.0409655386481
like : 0.0406638289916
white : 0.0406438287335
place : 0.0404309709996
healthy : 0.0397561889195
Topic: 4
rice : 0.246373174211
place : 0.152670640815
samurai : 0.152366844822
like : 0.137185384921
meat : 0.0792875568078
healthy : 0.0601305192505
just : 0.0579824982308
years : 0.057074375075
work : 0.0285677841987
white : 0.0283612216677
