Topic: 0
like : 0.218988842304
place : 0.164995672508
little : 0.124244990539
resort : 0.116217338426
pool : 0.115832241041
food : 0.0786136761267
just : 0.0719275403025
sanctuary : 0.0368822353616
service : 0.0362301178384
suite : 0.036067345553
Topic: 1
sanctuary : 0.138057750053
little : 0.137629433035
food : 0.137570051733
pool : 0.137102918745
suite : 0.134085865229
service : 0.110306488124
just : 0.109854805766
place : 0.0328125727713
resort : 0.0314090989318
like : 0.0311710156108
Topic: 2
service : 0.274447453503
place : 0.192399834656
resort : 0.132760761447
food : 0.0910318102955
just : 0.080737932353
like : 0.0741809321451
pool : 0.0704110010795
sanctuary : 0.0285348984319
suite : 0.0279369384898
little : 0.027558437598
Topic: 3
sanctuary : 0.381476418511
resort : 0.164194393234
service : 0.146704732742
place : 0.0455421868142
just : 0.044159156319
suite : 0.0439942699453
pool : 0.0438873175798
food : 0.0435735261471
little : 0.0433446740427
like : 0.0431233246641
Topic: 4
suite : 0.24290500648
just : 0.177652502986
place : 0.150341848884
food : 0.106934346582
service : 0.0951160770493
little : 0.0758549758265
pool : 0.0715747361264
sanctuary : 0.0270479244035
resort : 0.0264607120954
like : 0.0261118695673
