Topic: 0
room : 0.328991543363
just : 0.160240184243
day : 0.0966100976465
like : 0.0928088124333
area : 0.0907250070306
amazing : 0.0711053861913
massage : 0.0574479298632
sanctuary : 0.0450655884697
experience : 0.0413080207992
time : 0.0156974299602
Topic: 1
experience : 0.282501593851
day : 0.182635840499
sanctuary : 0.136150810962
amazing : 0.117872578331
time : 0.0893592085563
massage : 0.0817062414877
just : 0.0510944196189
room : 0.0202519677871
like : 0.0193862183747
area : 0.0190411205327
Topic: 2
massage : 0.307090888088
sanctuary : 0.170525595418
time : 0.134320939092
experience : 0.129822507739
area : 0.106788508681
like : 0.0690332353813
amazing : 0.0427623827386
room : 0.0137656876334
day : 0.0129849122
just : 0.0129053430282
Topic: 3
sanctuary : 0.351001922736
day : 0.174605709441
just : 0.129726118243
experience : 0.102825154331
area : 0.0749987570201
like : 0.0647658105847
time : 0.0471534120623
massage : 0.0190834886322
room : 0.0184817502468
amazing : 0.0173578767035
Topic: 4
like : 0.237254303519
amazing : 0.172734511137
room : 0.139144419488
time : 0.0783629794656
area : 0.0765988605237
just : 0.0731116221827
experience : 0.0666314259664
day : 0.0579270596987
massage : 0.0569270807327
sanctuary : 0.0413077372861
