Topic: 0
just : 0.301253175899
came : 0.191577770823
food : 0.185245951444
service : 0.167676077467
like : 0.065782157451
order : 0.0305377780992
place : 0.0169691705558
breakfast : 0.0144396957719
eat : 0.0136102799227
minutes : 0.0129079425664
Topic: 1
place : 0.294927835749
breakfast : 0.231589926803
eat : 0.178654698015
food : 0.0884985287952
service : 0.077189689854
minutes : 0.0357456028854
order : 0.034967787059
just : 0.0275803191532
came : 0.0242923706808
like : 0.0065532410048
Topic: 2
like : 0.317394419191
place : 0.129960299367
order : 0.12452337725
food : 0.111237766578
minutes : 0.0961118948722
came : 0.0818369590526
just : 0.0461165584809
breakfast : 0.0456232923986
eat : 0.0281038428018
service : 0.0190915900072
Topic: 3
food : 0.388436331531
just : 0.18619494117
service : 0.145914692373
order : 0.0888522419078
place : 0.0511107208071
breakfast : 0.0431128325732
minutes : 0.0382252887311
eat : 0.0366351784333
like : 0.0108066130074
came : 0.0107111594659
Topic: 4
place : 0.206220173106
service : 0.205936285483
minutes : 0.1707251488
food : 0.155908057442
came : 0.126013515949
order : 0.0606340944735
breakfast : 0.0322415483917
like : 0.0230245744797
just : 0.0102601930636
eat : 0.00903640881106
