Topic: 0
waterfall : 0.231836790227
patio : 0.19426379913
place : 0.176998306477
wynn : 0.119654803886
ice : 0.0707491807106
time : 0.0679668695719
gelato : 0.0673573710837
just : 0.0245805761252
vegas : 0.023444311815
nice : 0.0231479909728
Topic: 1
gelato : 0.327746563106
just : 0.203204724109
ice : 0.178732609415
vegas : 0.112358484057
waterfall : 0.0606238593808
time : 0.0493374600955
place : 0.0176280603762
patio : 0.0170483630804
nice : 0.0167155271365
wynn : 0.0166043492439
Topic: 2
place : 0.291264465136
just : 0.147277013211
ice : 0.133952561185
gelato : 0.116180374219
waterfall : 0.0929049750175
vegas : 0.0525989795716
wynn : 0.0509806754799
nice : 0.0391621882757
time : 0.0385714021967
patio : 0.0371073657069
Topic: 3
time : 0.248014014802
patio : 0.204921303874
nice : 0.173168983815
waterfall : 0.153204440159
place : 0.0702965181762
vegas : 0.0520125018095
just : 0.0367204496893
gelato : 0.0359813769405
ice : 0.0132357437254
wynn : 0.0124446670091
Topic: 4
wynn : 0.238940750891
ice : 0.208920215829
place : 0.142525384633
vegas : 0.137407283435
nice : 0.110758979468
just : 0.0598106700967
time : 0.0506766233716
gelato : 0.0172845167775
waterfall : 0.0168887122906
patio : 0.0167868632079
