Topic: 0
like : 0.231337833781
time : 0.195194881393
sushi : 0.144482831749
roll : 0.138809569128
chef : 0.0963080242317
good : 0.0783573367326
place : 0.0536697502703
tuna : 0.0346163246546
fish : 0.0136213770173
fresh : 0.0136020710417
Topic: 1
place : 0.279998745971
sushi : 0.260142442954
chef : 0.0933533092414
fish : 0.0793648698744
fresh : 0.0638654660765
good : 0.0611160086971
like : 0.0462299185313
roll : 0.0392574208025
time : 0.0390641543263
tuna : 0.0376076635255
Topic: 2
sushi : 0.236336493258
tuna : 0.165516172118
good : 0.163922555912
chef : 0.106734781406
like : 0.0942893605628
fish : 0.0724281733922
roll : 0.0573091358548
time : 0.0486980255477
fresh : 0.0292096628841
place : 0.0255556390644
Topic: 3
good : 0.263897918773
roll : 0.239578541525
fish : 0.165938092195
fresh : 0.108809123633
time : 0.0670412718263
place : 0.0639683256273
like : 0.0442730645629
tuna : 0.0244725922564
sushi : 0.0116402032124
chef : 0.0103808663887
Topic: 4
tuna : 0.270848797673
roll : 0.187838292392
good : 0.174629450977
fresh : 0.11632191203
like : 0.0901646410322
place : 0.0508140521412
sushi : 0.0475311561286
time : 0.0310909726168
chef : 0.0218540776877
fish : 0.00890664732125
