Topic: 0
place : 0.198264083386
sake : 0.166616172856
green : 0.133466431351
little : 0.128459195322
rolls : 0.116067973686
good : 0.103601201451
great : 0.0993095445828
like : 0.0183414791287
eat : 0.0181593635588
casino : 0.0177145546784
Topic: 1
good : 0.319075063582
eat : 0.187320192598
casino : 0.0874710032727
place : 0.0818003395884
like : 0.0735324407729
little : 0.0729450925384
green : 0.0727076664616
rolls : 0.0626083171494
sake : 0.0218713070958
great : 0.0206685769405
Topic: 2
little : 0.279638657228
rolls : 0.166093413887
great : 0.143235381868
sake : 0.113441153421
like : 0.0874317904679
casino : 0.0860037575074
good : 0.0321325939595
place : 0.03133331162
eat : 0.0304264790712
green : 0.0302634609694
Topic: 3
sake : 0.298125303855
great : 0.162754916573
eat : 0.160091346805
green : 0.0892072914423
casino : 0.0749680894411
place : 0.0727052713363
good : 0.0577850627163
like : 0.0559648403978
rolls : 0.0144082756237
little : 0.0139896018108
Topic: 4
like : 0.265707914824
sake : 0.207343210798
rolls : 0.137180745523
casino : 0.107470472117
good : 0.0973638866909
place : 0.0767965823758
great : 0.0275184146967
eat : 0.0272829020208
little : 0.0269818580896
green : 0.0263540128643
