Topic: 0
service : 0.271034538868
place : 0.249700054039
waitress : 0.0627636312829
sushi : 0.0601980213981
rolls : 0.0596960471432
eat : 0.0596819974835
don : 0.0596811619507
food : 0.0593987782613
10 : 0.0589361929304
terrible : 0.0589095766432
Topic: 1
waitress : 0.376305839117
eat : 0.143373016162
place : 0.132161855224
sushi : 0.131805024805
service : 0.0364599327753
food : 0.0362907782281
don : 0.036145086341
rolls : 0.0358764338401
10 : 0.0357994675201
terrible : 0.0357825659888
Topic: 2
food : 0.170932965491
sushi : 0.147025216461
rolls : 0.141876945833
terrible : 0.125431609398
service : 0.11333095279
10 : 0.0873887615356
eat : 0.0794913866154
waitress : 0.0566407983938
don : 0.0555853278793
place : 0.0222960356026
Topic: 3
don : 0.233144663063
place : 0.212821589236
sushi : 0.154761053864
10 : 0.111035364745
eat : 0.102248875536
waitress : 0.038992232285
service : 0.0371060003398
rolls : 0.0368010220104
food : 0.0365943569171
terrible : 0.0364948420046
Topic: 4
waitress : 0.104071791185
place : 0.101789054141
sushi : 0.101038388163
eat : 0.0997162218761
rolls : 0.0991633365575
don : 0.0990306369367
service : 0.0989864287206
food : 0.0989703043077
terrible : 0.0988957460267
10 : 0.0983380920855
