Topic: 0
great : 0.272687252344
good : 0.166983495781
service : 0.13355358998
34 : 0.0993443501651
table : 0.0940651102502
time : 0.0811429055986
restaurant : 0.0785293978494
place : 0.0253967698638
food : 0.0245280122513
vegas : 0.0237691159176
Topic: 1
great : 0.226885804012
service : 0.210829829752
table : 0.162702388855
place : 0.120287648353
food : 0.113746057577
restaurant : 0.034674938972
time : 0.0339270353219
good : 0.0329790687514
34 : 0.0322955629716
vegas : 0.0316716654343
Topic: 2
place : 0.196408757748
food : 0.172253485016
great : 0.164468377455
service : 0.103269733863
good : 0.0862824467248
vegas : 0.0733171549516
34 : 0.0676876275426
table : 0.0669591264158
restaurant : 0.0362415548998
time : 0.0331117353834
Topic: 3
great : 0.2547160144
vegas : 0.162382689403
restaurant : 0.142119527502
food : 0.119779020371
time : 0.106347127881
place : 0.074894292752
good : 0.0633252887054
34 : 0.026295650466
table : 0.0256357282638
service : 0.0245046602559
Topic: 4
restaurant : 0.235474307814
table : 0.207097081578
time : 0.155917504976
34 : 0.116678947386
service : 0.079969047156
good : 0.0736395589802
great : 0.0431794474931
vegas : 0.0353107657349
food : 0.0264536002041
place : 0.026279738678
