Topic: 0
teakwoods : 0.210999161895
place : 0.19466275507
beer : 0.18349701969
great : 0.117140725305
wings : 0.0861594088585
peanuts : 0.0747284808677
good : 0.0658753447232
floor : 0.0386073505327
bar : 0.0207845465422
just : 0.00754520651544
Topic: 1
place : 0.274903229907
wings : 0.195430673587
peanuts : 0.110624744672
floor : 0.0992446515028
good : 0.0784744328503
bar : 0.0659361677129
just : 0.0625567380245
great : 0.0578976604933
teakwoods : 0.0278684479479
beer : 0.0270632533028
Topic: 2
just : 0.278720063818
wings : 0.133234790273
great : 0.11519546457
bar : 0.096184245747
floor : 0.0890210930927
good : 0.0796456507494
peanuts : 0.0751895557122
teakwoods : 0.0731843051837
place : 0.0512204839936
beer : 0.00840434686057
Topic: 3
bar : 0.251329931743
wings : 0.201496389642
great : 0.130845586924
beer : 0.126167357544
peanuts : 0.0710830156158
floor : 0.0578930285995
just : 0.049505789492
good : 0.0432995660307
teakwoods : 0.0413503703756
place : 0.0270289640334
Topic: 4
good : 0.413660148656
great : 0.129716536202
floor : 0.127917616315
wings : 0.0886945882442
place : 0.0606908216971
just : 0.0501119504167
teakwoods : 0.0443363153075
peanuts : 0.039290243342
beer : 0.02707526967
bar : 0.0185065101493
