Topic: 0
crust : 0.230910378297
got : 0.162804770758
order : 0.148228650083
going : 0.101307058364
called : 0.100615982134
just : 0.0948183823817
condiment : 0.0410174743026
don : 0.0404912883116
area : 0.0400872255883
decent : 0.0397187897809
Topic: 1
don : 0.273474339091
order : 0.247349473676
crust : 0.0611739791223
just : 0.0607867602646
condiment : 0.0604422996369
area : 0.0597329270102
going : 0.0595619505976
decent : 0.0592974917221
called : 0.0591042126231
got : 0.0590765662563
Topic: 2
area : 0.220195686569
condiment : 0.184456659997
don : 0.140580711509
decent : 0.111475552136
called : 0.111439731683
order : 0.102201031883
just : 0.0328931235181
crust : 0.0327296814809
going : 0.0321791727173
got : 0.0318486485072
Topic: 3
condiment : 0.177355601293
got : 0.176279543196
decent : 0.176226616327
just : 0.162716721722
crust : 0.0521668881891
don : 0.0516685087429
order : 0.0514475020217
area : 0.0509667710717
going : 0.0506968732701
called : 0.0504749741672
Topic: 4
just : 0.266664715878
crust : 0.203862506659
going : 0.202925085215
condiment : 0.0474238492248
don : 0.0471825668528
order : 0.0470340231012
area : 0.0463942732158
got : 0.0462616170917
decent : 0.0462045965754
called : 0.0460467661867
