Topic: 0
bad : 0.163644873602
joint : 0.146745925297
music : 0.129696319124
really : 0.118815820851
venue : 0.112563852425
view : 0.110230628523
night : 0.0708306068346
great : 0.0500639103498
staff : 0.0487363526323
saw : 0.048671710361
Topic: 1
night : 0.397756630481
joint : 0.148534988037
view : 0.122477660763
saw : 0.116763823498
great : 0.0665910494192
venue : 0.0586146883794
staff : 0.0234788283574
really : 0.0226246738685
music : 0.021700235874
bad : 0.0214574213224
Topic: 2
great : 0.243675987202
venue : 0.202553318821
view : 0.12511944975
saw : 0.121832110489
joint : 0.119552809225
really : 0.0381891072852
staff : 0.0379569552835
night : 0.0376453650423
music : 0.037227935743
bad : 0.036246961158
Topic: 3
joint : 0.221867773965
staff : 0.21055947868
really : 0.173361693296
venue : 0.14543129672
music : 0.0928494574738
saw : 0.0594309180663
bad : 0.0529085024191
great : 0.026497868075
night : 0.00865075404643
view : 0.00844225725762
Topic: 4
joint : 0.111495922918
staff : 0.105696232936
really : 0.102707692352
venue : 0.101334675809
night : 0.0994894598077
bad : 0.0975856094118
music : 0.0974427327062
saw : 0.0953595297702
view : 0.0944649011393
great : 0.0944232431496
