Topic: 0
pizza : 0.211701092266
20 : 0.191709902192
food : 0.168539952863
let : 0.117262842719
place : 0.106324457396
restaurant : 0.041007576909
service : 0.0409999107933
poisoning : 0.0409066442052
review : 0.0408378962085
just : 0.0407097244472
Topic: 1
restaurant : 0.175264441878
just : 0.164660820525
pizza : 0.157979855199
service : 0.145421950474
place : 0.115573471169
20 : 0.0692519076996
review : 0.0691459296551
food : 0.0346895716346
poisoning : 0.034120098122
let : 0.0338919536437
Topic: 2
poisoning : 0.209976775498
food : 0.184510279019
review : 0.117265089734
place : 0.105246065353
pizza : 0.10175414703
restaurant : 0.0943359228261
let : 0.0632130112878
service : 0.0587232728969
20 : 0.0325342725375
just : 0.0324411638178
Topic: 3
food : 0.102695707317
pizza : 0.101905828979
place : 0.100242482689
restaurant : 0.0999267208664
20 : 0.0997846712393
poisoning : 0.0994089882617
service : 0.0993079615595
just : 0.0989443759233
let : 0.0989098578454
review : 0.09887340532
Topic: 4
food : 0.101110544746
pizza : 0.101068678659
place : 0.100689165766
restaurant : 0.1000856085
20 : 0.0999800559886
poisoning : 0.099747411514
service : 0.09949424319
review : 0.0994848201975
just : 0.0992398981888
let : 0.0990995732499
