Topic: 0
cigarette : 0.239957341461
like : 0.159799080441
right : 0.129176168062
cook : 0.116791859387
gloves : 0.10880720749
food : 0.100584245007
really : 0.0364598602823
place : 0.0362389092994
vegas : 0.0361814541318
staff : 0.0360038744386
Topic: 1
gloves : 0.103274991933
right : 0.101668155551
like : 0.100751016803
food : 0.0997157275605
cigarette : 0.0994839219514
cook : 0.0993021634811
really : 0.0992697234995
place : 0.0991859601708
vegas : 0.0989532322285
staff : 0.0983951068218
Topic: 2
place : 0.182722876655
right : 0.158436452001
staff : 0.15784129672
really : 0.142146819233
like : 0.0687780004725
vegas : 0.0686567711213
cigarette : 0.0684821814579
gloves : 0.0647866652984
food : 0.060469809523
cook : 0.027679127518
Topic: 3
cook : 0.215018580695
vegas : 0.214578344277
food : 0.178921414465
place : 0.113118939918
gloves : 0.105457637187
right : 0.0351184794669
like : 0.0349848696103
cigarette : 0.0344741984005
really : 0.0342657669302
staff : 0.0340617690499
Topic: 4
gloves : 0.255528589359
like : 0.224987491361
really : 0.133749233418
food : 0.116755380751
right : 0.0457278979588
place : 0.0447280394864
vegas : 0.0447194088395
cigarette : 0.0446912236949
cook : 0.0446409195359
staff : 0.0444718155953
