Topic: 0
time : 0.206555819315
ordered : 0.195430135007
food : 0.125836521519
menu : 0.116005210736
came : 0.0914482555502
really : 0.0877068422841
took : 0.0702926763667
cheese : 0.0497270645281
like : 0.0377772669136
place : 0.0192202077799
Topic: 1
cheese : 0.262404304829
food : 0.149700555058
came : 0.112002511981
ordered : 0.104064060426
time : 0.090646178179
like : 0.0877430764951
menu : 0.0798198139423
took : 0.06835219634
place : 0.022710479684
really : 0.0225568230665
Topic: 2
place : 0.43038600259
took : 0.174278684138
really : 0.0964626437883
came : 0.096036539053
like : 0.0912951937716
ordered : 0.0224918926299
time : 0.0223356012625
menu : 0.0222774010339
food : 0.0222349590936
cheese : 0.0222010826394
Topic: 3
really : 0.363445071008
menu : 0.242278987683
time : 0.108173379091
took : 0.0524869284946
cheese : 0.0487189013784
food : 0.048153855815
place : 0.0357141788895
came : 0.033976635252
ordered : 0.0336938660571
like : 0.0333581963313
Topic: 4
place : 0.213024463294
food : 0.198533315588
really : 0.180955811035
like : 0.156780583241
ordered : 0.089644732567
time : 0.0331480921256
menu : 0.0321456570077
took : 0.032077297256
cheese : 0.0320034499033
came : 0.0316865979816
