Topic: 0
theater : 0.232457700343
50 : 0.229125079555
movie : 0.112233828582
going : 0.0935333501968
place : 0.0848107874049
time : 0.062454186765
theaters : 0.0551294143594
ticket : 0.0544388185017
movies : 0.054286583261
theatre : 0.0215302510306
Topic: 1
movie : 0.331721234741
place : 0.215732583113
time : 0.116774141936
ticket : 0.081800846923
theater : 0.0731668713207
50 : 0.0512659948726
movies : 0.050200050789
theaters : 0.0269294507502
theatre : 0.0262514295657
going : 0.0261573959889
Topic: 2
movie : 0.203529490144
place : 0.198078495715
movies : 0.164588277672
going : 0.10775375183
theatre : 0.0996376882355
theater : 0.0917404658131
time : 0.050708174146
theaters : 0.0477986064987
50 : 0.0185213779458
ticket : 0.0176436720006
Topic: 3
ticket : 0.167346627363
50 : 0.164950093964
movie : 0.121368817515
place : 0.117592383156
theaters : 0.10874711272
theatre : 0.0921904398306
going : 0.0884250384045
theater : 0.0757378233968
movies : 0.0498741955305
time : 0.0137674681197
Topic: 4
movies : 0.303240336724
theater : 0.25058739425
theaters : 0.116878586304
movie : 0.0842972886832
50 : 0.067016849709
theatre : 0.0515560493737
time : 0.0479607639121
place : 0.0479475053644
going : 0.0153494794799
ticket : 0.0151657461999
