Topic: 0
service : 0.265834003188
nice : 0.201979068492
sauce : 0.201345303359
food : 0.0490480759811
scalone : 0.0473677523406
great : 0.0472830906926
00 : 0.0472273477411
restaurant : 0.0471289596202
place : 0.0470000406634
served : 0.0457863579212
Topic: 1
great : 0.190602110019
food : 0.172698223612
restaurant : 0.171395473147
00 : 0.121734850666
service : 0.0998568535082
nice : 0.0864243327407
place : 0.0808664890742
scalone : 0.0259077154947
sauce : 0.0254644919099
served : 0.0250494598278
Topic: 2
food : 0.384734176239
service : 0.0706117117705
restaurant : 0.0686527836041
scalone : 0.0685646766803
place : 0.068481674444
00 : 0.0684141557035
great : 0.0679957466551
nice : 0.0679400991358
sauce : 0.0675652714574
served : 0.0670397043099
Topic: 3
scalone : 0.203741945634
served : 0.186865927565
00 : 0.152372715293
sauce : 0.12346989482
food : 0.111118982713
place : 0.0719476117447
great : 0.0689124518779
service : 0.0275942656902
restaurant : 0.0273664455713
nice : 0.0266097590913
Topic: 4
place : 0.216927966531
service : 0.205389219708
great : 0.183667630724
nice : 0.121959718471
restaurant : 0.12009735938
food : 0.0312796789814
00 : 0.0304997713457
scalone : 0.0304361204939
sauce : 0.0300415151653
served : 0.0297010191997
