Topic: 0
like : 0.23412813755
great : 0.224325467039
phoenix : 0.147557220778
good : 0.0897510439467
food : 0.0679446639295
game : 0.0603730552973
arena : 0.0498580256489
suns : 0.0474890034424
airways : 0.0395240598378
center : 0.0390493225311
Topic: 1
suns : 0.270663576983
good : 0.263379651444
game : 0.101511559329
like : 0.0855739187319
airways : 0.0780558950518
center : 0.070483929815
great : 0.0576127179623
phoenix : 0.0356514764211
arena : 0.0241903805167
food : 0.0128768937443
Topic: 2
phoenix : 0.193455327813
suns : 0.152782911096
arena : 0.146322673395
food : 0.134111984751
good : 0.130417842734
center : 0.0940084857921
airways : 0.0537445111025
like : 0.0475178769321
great : 0.0284776330859
game : 0.0191607532972
Topic: 3
game : 0.363578024472
suns : 0.122167442648
food : 0.111521193741
phoenix : 0.107547673251
center : 0.0826494983443
great : 0.0520403098051
like : 0.0493914282555
good : 0.0489278487845
arena : 0.0380434894254
airways : 0.0241330912727
Topic: 4
arena : 0.238606387799
center : 0.142399728001
great : 0.131701480993
like : 0.10834273479
airways : 0.107583718035
suns : 0.0860484179221
game : 0.0656610479866
food : 0.0506290809024
good : 0.0426496287747
phoenix : 0.0263777747957
