Topic: 0
place : 0.2363299228
like : 0.184544682631
good : 0.154361622518
time : 0.145395700498
sam : 0.0764884407832
uncle : 0.0701776992355
cheese : 0.0340478435998
food : 0.0335382612435
service : 0.0330303775666
don : 0.0320854491243
Topic: 1
time : 0.173794366895
place : 0.158799179169
food : 0.13040569135
don : 0.126560458603
like : 0.11812402522
cheese : 0.0779136921018
service : 0.0642797294373
sam : 0.062568417177
uncle : 0.0593917147595
good : 0.0281627252877
Topic: 2
cheese : 0.297186802347
good : 0.154397790438
service : 0.141206712267
don : 0.107204482368
place : 0.0858142757641
time : 0.0776416266693
food : 0.0670876342056
uncle : 0.0240611951533
like : 0.0227112153453
sam : 0.0226882654423
Topic: 3
food : 0.263942139371
service : 0.168555926799
like : 0.165244848595
good : 0.148488789105
cheese : 0.0860330099667
sam : 0.054844560984
uncle : 0.0522350192082
time : 0.0203994809603
place : 0.0202844663828
don : 0.0199717586278
Topic: 4
uncle : 0.435541944466
sam : 0.211941233629
good : 0.166874984189
food : 0.0756639342584
cheese : 0.0191391877885
like : 0.0186913620527
service : 0.0181645047757
place : 0.0181233103003
time : 0.0181064109937
don : 0.0177531275472
