Topic: 0
place : 0.253160504315
like : 0.196916078808
went : 0.152738160984
got : 0.12446586208
food : 0.108384927632
chicken : 0.077402655691
wasn : 0.0463198892937
mexican : 0.0136777411003
better : 0.0135553988583
time : 0.0133787812373
Topic: 1
mexican : 0.267170033105
place : 0.147895298196
like : 0.137442204852
food : 0.116309634063
better : 0.0941650153171
got : 0.0569100625028
time : 0.0565682411471
wasn : 0.0546781244311
chicken : 0.0519159243208
went : 0.016945462065
Topic: 2
food : 0.434055610282
chicken : 0.297373074553
place : 0.0366564336827
went : 0.0349607879581
like : 0.0346046797796
mexican : 0.0330771340705
wasn : 0.0327699936477
better : 0.0325175900062
time : 0.0320610224794
got : 0.0319236735406
Topic: 3
went : 0.243376034485
better : 0.183586960474
food : 0.148660634113
wasn : 0.0956355498648
chicken : 0.0889799560451
like : 0.0877268064751
place : 0.0809482918221
mexican : 0.0241658060589
time : 0.0234894861566
got : 0.0234304745047
Topic: 4
chicken : 0.267865559902
time : 0.238053531804
wasn : 0.127588494821
better : 0.0778903346514
mexican : 0.07542391905
place : 0.0745066822924
food : 0.0681321008604
like : 0.0242727947997
went : 0.0241504224406
got : 0.0221161593785
