Topic: 0
steak : 0.29793711419
eggs : 0.186275827567
place : 0.115156349482
good : 0.0923445820411
like : 0.0750714497274
ordered : 0.0664745438555
food : 0.0570502359804
99 : 0.0461161115175
really : 0.0406516291991
toast : 0.0229221564411
Topic: 1
99 : 0.239430202555
steak : 0.224322619015
good : 0.168551322855
eggs : 0.163010543007
place : 0.057934606441
really : 0.0540883597805
like : 0.0388196725979
ordered : 0.0212058419023
toast : 0.0210888144295
food : 0.0115480174167
Topic: 2
like : 0.311049754784
food : 0.256104330535
really : 0.185423013736
place : 0.0862193452471
ordered : 0.0385439923052
good : 0.0360368343292
steak : 0.0234650855325
eggs : 0.0225663056469
99 : 0.02065240527
toast : 0.0199389326139
Topic: 3
place : 0.287297397369
ordered : 0.281357101511
steak : 0.0601691918546
eggs : 0.0558667035458
like : 0.054061451439
good : 0.0539156284535
99 : 0.0531175303051
food : 0.0527120636681
really : 0.0514156467317
toast : 0.0500872851224
Topic: 4
place : 0.185262708135
toast : 0.172870419861
steak : 0.161233924726
eggs : 0.156010528046
food : 0.109303238848
good : 0.0548979376368
really : 0.0525244551936
ordered : 0.0405956725107
99 : 0.0376124277117
like : 0.0296886873302
