Topic: 0
place : 0.185423177984
like : 0.157477947108
zoo : 0.141540943557
animals : 0.138459676291
really : 0.0923551570076
aquarium : 0.0913661321597
lot : 0.0812636177512
price : 0.0573111932888
phoenix : 0.0435269371897
time : 0.0112752176625
Topic: 1
zoo : 0.360246762997
time : 0.218686999993
place : 0.132861383185
really : 0.086730933997
animals : 0.0792251501775
phoenix : 0.0496695022632
aquarium : 0.0185575257842
like : 0.0182847448074
price : 0.0179800986916
lot : 0.0177568981042
Topic: 2
lot : 0.160850054697
price : 0.147488556966
phoenix : 0.146725795687
aquarium : 0.128500901076
like : 0.101404813427
time : 0.0940818214705
zoo : 0.0852667621885
really : 0.081628009111
animals : 0.0270351476043
place : 0.0270181377742
Topic: 3
zoo : 0.110677238357
place : 0.101523546145
aquarium : 0.100580713561
time : 0.100346549252
animals : 0.100211244371
like : 0.0994625149527
really : 0.0978909836964
price : 0.0977669207019
lot : 0.0960268449505
phoenix : 0.0955134440117
Topic: 4
aquarium : 0.285467544261
zoo : 0.200824231073
price : 0.165946801144
really : 0.139782889158
place : 0.0357150376317
animals : 0.0352754727722
time : 0.0352644814132
like : 0.0344590488353
lot : 0.0338609109746
phoenix : 0.0334035827368
