Topic: 0
food : 0.271274744529
time : 0.190840947081
know : 0.149234338347
place : 0.143122883881
just : 0.0877255846056
yc : 0.0326450213162
don : 0.0318088626625
really : 0.0314802350861
coming : 0.0310553523462
eat : 0.0308120301463
Topic: 1
yc : 0.233713516096
coming : 0.160106095016
really : 0.134787326307
just : 0.0927610690135
place : 0.0921938782693
eat : 0.0824390095653
time : 0.0742260929382
food : 0.0687373511088
don : 0.0460424375152
know : 0.0149932241698
Topic: 2
food : 0.21005040294
yc : 0.201230186441
know : 0.165390214464
just : 0.139558067387
eat : 0.0960409206713
coming : 0.0694162743029
don : 0.0300813715013
place : 0.0298468073591
really : 0.0294414062475
time : 0.0289443486858
Topic: 3
don : 0.199451648969
place : 0.179393577747
yc : 0.129827503126
really : 0.113120404404
just : 0.104015217716
eat : 0.0655943329264
know : 0.0654119990629
food : 0.0612454353858
time : 0.0607547090374
coming : 0.0211851716244
Topic: 4
food : 0.343794023495
don : 0.17853111717
just : 0.101665011787
place : 0.0927755141996
really : 0.0853387632764
eat : 0.0619651267451
know : 0.0619040160645
yc : 0.0258786386806
time : 0.0241698054415
coming : 0.02397798314
